AAAB,"Admiralty Bancorp, Inc.",NNM
AABC,"Access Anytime Bancorp, Inc.",SCM
AACB,"Alliance Atlantis Communications, Inc.",NNM
AACE,"Ace Cash Express, Inc.",NNM
AAII,aaiPharma Inc,NNM
AALA,"AmerAlia, Inc.",SCM
AAME,Atlantic American Corporation,NNM
AANB,"Abigail Adams National Bancorp, Inc.",NNM
AAON,"AAON, Inc.",NNM
AAPL,"Apple Computer, Inc.",NNM
AATK,"American Access Technologies, Inc.",SCM
AAUK,Anglo American plc,SCM
ABANP,"Gold Banc Corporation, Inc.",NNM
ABAX,"ABAXIS, Inc.",NNM
ABBK,Abington Bancorp Inc.,NNM
ABBKP,Abington Bancorp Inc.,NNM
ABCB,ABC Bancorp,NNM
ABCO,Advisory Board Company (The),NNM
ABCW,Anchor BanCorp Wisconsin Inc.,NNM
ABER,Aber Diamond Corporation,SCM
ABFI,"American Business Financial Services, Inc.",NNM
ABFS,Arkansas Best Corporation,NNM
ABGX,"Abgenix, Inc.",NNM
ABIX,Abatix Corp.,SCM
ABIZ,"Adelphia Business Solutions, Inc.",NNM
ABLE,"Able Energy, Inc.",SCM
ABMC,American Bio Medica Corp.,SCM
ABMD,"ABIOMED, Inc.",NNM
ABRI,"Abrams Industries, Inc.",NNM
ABTL,Autobytel Inc.,NNM
ABWG,"A B Watley Group, Inc.",NNM
ACAI,"Atlantic Coast Airlines Holdings, Inc.",NNM
ACAM,Acambis plc,NNM
ACAP,"American Physicians Capital, Inc.",NNM
ACAS,"American Capital Strategies, Ltd.",NNM
ACAT,Arctic Cat Inc.,NNM
ACBA,American Community Bancshares,SCM
ACCL,"Accelerated Networks, Inc.",NNM
ACDO,"Accredo Health, Incorporated",NNM
ACEC,ACE*COMM Corporation,NNM
ACET,Aceto Corporation,NNM
ACGL,Arch Capital Group Ltd.,NNM
ACHI,American Country Holdings Inc.,SCM
ACHIW,American Country Holdings Inc.,SCM
ACLA,"ACLARA BioSciences, Inc.",NNM
ACLO,Accelio Corporation,NNM
ACLS,"Axcelis Technologies, Inc.",NNM
ACME,"ACME Communications, Inc.",NNM
ACMR,"A.C. Moore Arts & Crafts, Inc.",NNM
ACMTA,ACMAT Corporation,NNM
ACNAF,Air Canada,NNM
ACPW,"Active Power, Inc.",NNM
ACRI,Acacia Research Corporation,NNM
